Substance,Formula,Ksp
Aluminum hydroxide,Al(OH)3,1.30E-33
Aluminum phosphate,AlPO4,6.3E-19
Barium carbonate,BaCO3,5.1E-9
Barium chromate,BaCrO4,1.2E-10
Barium fluoride,BaF2,1.0E-6
Barium hydroxide,Ba(OH)2,5E-3
Barium sulfate,BaSO4,1.1E-10
Barium sulfite,BaSO3,8E-7
Barium thiosulfate,BaS2O3,1.6E-6
Bismuthyl chloride,BiOCl,1.8E-31
Bismuthyl hydroxide,BiOOH,4E-10
Cadmium carbonate,CdCO3,5.2E-12
Cadmium hydroxide,Cd(OH)2,2.5E-14
Cadmium oxalate,CdC2O4,1.5E-8
Cadmium sulfide*,CdS,8E-28
Calcium carbonate,CaCO3,2.8E-9
Calcium chromate,CaCrO4,7.1E-4
Calcium fluoride,CaF2,5.3E-9
Calcium hydrogen phosphate,CaHPO4,1E-7
Calcium hydroxide,Ca(OH)2,5.5E-6
Calcium oxalate,CaC2O4,2.7E-9
Calcium phosphate,Ca3(PO4)2,2.0E-29
Calcium sulfate,CaSO4,9.1E-6
Calcium sulfite,CaSO3,6.8E-8
Chromium(II) hydroxide,Cr(OH)2,2E-16
Chromium(III) hydroxide,Cr(OH)3,6.3E-31
Cobalt(II) carbonate,CoCO3,1.4E-13
Cobalt(II) hydroxide,Co(OH)2,1.6E-15
Cobalt(III) hydroxide,Co(OH)3,1.6E-44
Cobalt(II) sulfide*,CoS,4E-21
Copper(I) chloride,CuCl,1.2E-6
Copper(I) cyanide,CuCN,3.2E-20
Copper(I) iodide,CuI,1.1E-12
Copper(II) arsenate,Cu3(AsO4)2,7.6E-36
Copper(II) carbonate,CuCO3,1.4E-10
Copper(II) chromate,CuCrO4,3.6E-6
Copper(II) ferrocyanide,Cu[Fe(CN)6],1.3E-16
Copper(II) hydroxide,Cu(OH)2,2.2E-20
Copper(II) sulfide*,CuS,6E-37
Iron(II) carbonate,FeCO3,3.2E-11
Iron(II) hydroxide,Fe(OH)2,8.0E-16
Iron(II) sulfide*,FeS,6E-19
Iron(III) arsenate,FeAsO4,5.7E-21
Iron(III) ferrocyanide,Fe4[Fe(CN)6]3,3.3E-41
Iron(III) hydroxide,Fe(OH)3,4E-38
Iron(III) phosphate,FePO4,1.3E-22
Lead(II) arsenate,Pb3(AsO4)2,4E-36
Lead(II) azide,Pb(N3)2,2.5E-9
Lead(II) bromide,PbBr2,4.0E-5
Lead(II) carbonate,PbCO3,7.4E-14
Lead(II) chloride,PbCl2,1.6E-5
Lead(II) chromate,PbCrO4,2.8E-13
Lead(II) fluoride,PbF2,2.7E-8
Lead(II) hydroxide,Pb(OH)2,1.2E-15
Lead(II) iodide,PbI2,7.1E-9
Lead(II) sulfate,PbSO4,1.6E-8
Lead(II) sulfide*,PbS,3E-28
Lithium carbonate,Li2CO3,2.5E-2
Lithium fluoride,LiF,3.8E-3
Lithium phosphate,Li3PO4,3.2E-9
Magnesium ammonium phosphate,MgNH4PO4,2.5E-13
Magnesium arsenate,Mg3(AsO4)2,E-10-20
Magnesium carbonate,MgCO3,3.5E-8
Magnesium fluoride,MgF2,3.7E-8
Magnesium hydroxide,Mg(OH)2,1.8E-11
Magnesium oxalate,MgC2O4,8.5E-5
Magnesium phosphate,Mg3(PO4)2,1E-25
Manganese(II) carbonate,MnCO3,1.8E-11
Manganese(II) hydroxide,Mn(OH)2,1.9E-13
